time_s,sample,phase,event,x_mm,y_mm,z_mm,radius_xy_mm,rx_deg,ry_deg,rz_deg,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,arm_status,motion_status,ctrl_mode,enable
1.950422,64,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
1.980404,65,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.015145,66,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.040546,67,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.070381,68,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.137520,69,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.212456,70,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.270274,71,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.299902,72,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.325507,73,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.355425,74,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.385432,75,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.415106,76,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.440598,77,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.470606,78,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.500608,79,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.530722,80,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.565404,81,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.595194,82,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.620643,83,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.650570,84,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.685116,85,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.710593,86,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.740461,87,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.770442,88,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.805210,89,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.830643,90,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.865323,91,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.895519,92,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.925535,93,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.960286,94,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
2.985671,95,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.019897,96,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.050213,97,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.079879,98,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.105349,99,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.135244,100,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.165122,101,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.190518,102,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.220600,103,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.255285,104,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.285321,105,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.315147,106,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.340584,107,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.375532,108,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.405235,109,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.435218,110,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.502374,111,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.647251,112,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
3.719837,113,idle,,62.882000,-2.275000,196.728000,62.923140,157.985000,76.686000,155.581000,-1.419000,0.380000,-2.573000,-1.277000,19.524000,6.366000,0,1,1,"False,False,False,False,False,False"
